А199,000 	 12 Bracklaghboy Village, Ballyhaunis, Mayo
А359,000 	 Mapel Lodge, Barley Hill, Westport, Mayo
А285,000 	 Glenbeg Cottage - Lot 2, Tourmakeady, Co Mayo, F12 D284
А100,000 	 Martin Tom's Cottage - Lot 4, Tourmakeady, Mayo
А590,000 	 Derrypark Lodge & Cottages - Lot 1a, Tourmakeady, Co Mayo, F12 VR83
А95,000 	 Site Sold SPP, Carrowbaun, Westport, Co Mayo
А255,000  -А10,000 on 30th Aug 19 	 Golf Course Road, Carrowholly, Westport, Co Mayo, F28 X330
А110,000 	 2 Rathunas , Swinford, Mayo
А89,000 	 15 The Maples, Ballyhaunis, Co. Mayo
А195,000 	 Gladree, Belmullet, Co. Mayo
AMV А35,000 	 9 Tara Court, Castlebar, Mayo
А325,000  А26,000 on 2nd Oct 20 	 Annagh, Ballyhaunis, Mayo
AMV А40,000 	 Ballyoorclerhy, Kiltimagh, Mayo
А160,000  А1,000 on 5th Oct 20 	 7 Ard Abhainn, Foxford, Mayo
А215,000 	 Brackloonagh South, Charlestown, Co. Mayo, F12VK85
А325,000 	 2 Crann na Fuinseoige, Knockroosky, Westport, Co Mayo, F28 PY24
А140,000 	 2 Ard Carra, Swinford, Mayo
А595,000 	 Main Street Ballinrobe, Ballinrobe, Mayo
А175,000 	 Bonniconlon, Ballina, Mayo
А180,000 	 7 Lнos na Sнуga, Binghamstown, Belmullet, Mayo
